theta,radius,labels,sph_theta,sph_phi,sph_theta_besa,sph_phi_besa,X,Y,Z,ref
-18,0.51111,Fp1,18,-1.99979999999999,-91.9998,-72,0.950477274216144,0.30882878721459,-0.0348960081701991,
-23,0.41111,AF3,23,16.0002,-73.9998,-67,0.884845170874598,0.375594491280951,0.275640711251633,
-54,0.51111,F7,54,-1.99979999999999,-91.9998,-36,0.587427260999931,0.808524261632206,-0.0348960081701991,
-39,0.33333,F3,39,30.0006,-59.9994,-51,0.673024075906577,0.545004150624971,0.500009068969405,
-45,0.17778,FC1,45,57.9996,-32.0004,-45,0.374713691632017,0.374713691632017,0.848044396601387,
-69,0.39444,FC5,69,19.0008,-70.9992,-21,0.338841924096412,0.88271339112337,0.325581356355247,
-90,0.51111,T7,90,-1.99979999999999,-91.9998,0,6.11950463293952e-17,0.999390948835232,-0.0348960081701991,
-90,0.25556,C3,90,43.9992,-46.0008,0,4.40474531033296e-17,0.719349499529124,0.694648326512919,
-135,0.17778,CP1,135,57.9996,-32.0004,45,-0.374713691632017,0.374713691632017,0.848044396601387,
-111,0.39444,CP5,111,19.0008,-70.9992,21,-0.338841924096412,0.88271339112337,0.325581356355247,
-126,0.51111,P7,126,-1.99979999999999,-91.9998,36,-0.587427260999931,0.808524261632206,-0.0348960081701991,
-141,0.33333,P3,141,30.0006,-59.9994,51,-0.673024075906577,0.545004150624971,0.500009068969405,
180,0.25556,Pz,-180,43.9992,46.0008,-90,-0.719349499529124,-8.80949062066592e-17,0.694648326512919,
-157,0.41111,PO3,157,16.0002,-73.9998,67,-0.884845170874598,0.375594491280951,0.275640711251633,
-162,0.51111,O1,162,-1.99979999999999,-91.9998,72,-0.950477274216144,0.30882878721459,-0.0348960081701991,
180,0.51111,Oz,-180,-1.99979999999999,91.9998,-90,-0.999390948835232,-1.2239009265879e-16,-0.0348960081701991,
162,0.51111,O2,-162,-1.99979999999999,91.9998,-72,-0.950477274216144,-0.30882878721459,-0.0348960081701991,
157,0.41111,PO4,-157,16.0002,73.9998,-67,-0.884845170874598,-0.375594491280951,0.275640711251633,
141,0.33333,P4,-141,30.0006,59.9994,-51,-0.673024075906577,-0.545004150624971,0.500009068969405,
126,0.51111,P8,-126,-1.99979999999999,91.9998,-36,-0.587427260999931,-0.808524261632206,-0.0348960081701991,
111,0.39444,CP6,-111,19.0008,70.9992,-21,-0.338841924096412,-0.88271339112337,0.325581356355247,
135,0.17778,CP2,-135,57.9996,32.0004,-45,-0.374713691632017,-0.374713691632017,0.848044396601387,
90,0.25556,C4,-90,43.9992,46.0008,0,4.40474531033296e-17,-0.719349499529124,0.694648326512919,
90,0.51111,T8,-90,-1.99979999999999,91.9998,0,6.11950463293952e-17,-0.999390948835232,-0.0348960081701991,
69,0.39444,FC6,-69,19.0008,70.9992,21,0.338841924096412,-0.88271339112337,0.325581356355247,
45,0.17778,FC2,-45,57.9996,32.0004,45,0.374713691632017,-0.374713691632017,0.848044396601387,
39,0.33333,F4,-39,30.0006,59.9994,51,0.673024075906577,-0.545004150624971,0.500009068969405,
54,0.51111,F8,-54,-1.99979999999999,91.9998,36,0.587427260999931,-0.808524261632206,-0.0348960081701991,
23,0.41111,AF4,-23,16.0002,73.9998,67,0.884845170874598,-0.375594491280951,0.275640711251633,
18,0.51111,Fp2,-18,-1.99979999999999,91.9998,72,0.950477274216144,-0.30882878721459,-0.0348960081701991,
0,0.25556,Fz,0,43.9992,46.0008,90,0.719349499529124,0,0.694648326512919,
90,0,Cz,-90,90,0,0,3.74939945665464e-33,-6.12323399573677e-17,1,
-65,1,vEOG,65,-90,-180,-25,2.58779050750983e-17,5.54953465218377e-17,-1,
65,1,hEOG,-65,-90,180,25,2.58779050750983e-17,-5.54953465218377e-17,-1,
-120,0.639,LM,120,-25.02,-115.02,30,-0.453080105110645,0.784757761950284,-0.422934597085303,
120,0.639,RM,-120,-25.02,115.02,-30,-0.453080105110645,-0.784757761950284,-0.422934597085303,
